Rhodoferax	14
Methylobacterium	15
Sphingopyxis	15
Enhydrobacter	15
Streptococcus	16
Acidovorax	17
Novosphingobium	19
Micrococcus	20
Achromobacter	22
Flavobacterium	25
Rubellimicrobium	28
Globicatella	31
Citrobacter	33
Paracoccus	42
Streptophyta	45
Sphingobium	47
Enterococcus	49
Methylobacillus	50
Escherichia/Shigella	51
Saccharopolyspora	55
Lactobacillus	76
Sphingomonas	87
Cloacibacterium	131
Propionibacterium	157
Actinomyces	176
Stenotrophomonas	197
Arcobacter	265
Diaphorobacter	292
Comamonas	714
Pseudomonas	1762
Acinetobacter	9960

Sample is 7878_ELS
Genus	Number_16s
Chlorophyta	15
Gp6	15
Aquincola	17
Turicibacter	18
Duganella	20
Bdellovibrio	23
Ochrobactrum	24
TM7	24
Adhaeribacter	24
Novosphingobium	25
Pelomonas	27
Anaeromyxobacter	28
Rothia	29
Nevskia	30
Dialister	30
Aquabacterium	30
Chryseobacterium	35
Geobacillus	37
Bosea	37
Ralstonia	39
Brachymonas	41
Roseomonas	45
Bacillariophyta	47
Phenylobacterium	48
Sphingomonas	57
Rhizobium	59
Variovorax	60
Flavobacterium	62
Legionella	62
Blastococcus	73
Sanguibacter	73
Brevibacterium	76
Anaerococcus	82
Paracoccus	90
Stenotrophomonas	98
Herbaspirillum	98
Zoogloea	101
Flectobacillus	107
Peptoniphilus	124
Acidovorax	142
Methylobacillus	153
Comamonas	192
Streptophyta	214
Pseudomonas	233
Corynebacterium	235
Streptococcus	254
Haemophilus	267
Massilia	283
Escherichia/Shigella	297
Saccharopolyspora	326
Diaphorobacter	366
Cloacibacterium	400
Actinomyces	417
Staphylococcus	489
Propionibacterium	652
Enhydrobacter	952
Acinetobacter	7016

Sample is 7878_EUS
Genus	Number_16s
Legionella	11
Rhodobacter	12
Aquabacterium	12
Pelomonas	14
Rhizobium	16
Clostridium	16
Luteimonas	17
Empedobacter	18
Methylobacterium	18
Veillonella	19
Rothia	20
TM7	20
Microbacterium	20
Skermanella	23
Nevskia	25
Methylotenera	28
Chlorophyta	29
Phenylobacterium	29
Methylophilus	32
Flavobacterium	36
Bacillariophyta	36
Comamonas	36
Herbaspirillum	38
Porphyrobacter	42
Acidovorax	45
Stenotrophomonas	47
Actinocatenispora	50
Saccharopolyspora	56
Paracoccus	58
Ralstonia	58
Gemella	63
Brevundimonas	66
Bradyrhizobium	70
Zoogloea	72
Lactobacillus	80
Nocardiopsis	96
Methylobacillus	104
OD1	106
Diaphorobacter	108
Escherichia/Shigella	110
Pseudomonas	120
Staphylococcus	131
Corynebacterium	140
Cloacibacterium	221
Propionibacterium	230
Actinomyces	235
Streptococcus	252
Sphingobacterium	258
Enhydrobacter	280
Streptophyta	671
Acinetobacter	3502

Sample is 7878_EMS
Genus	Number_16s
Geobacillus	11
Humicoccus	12
Nocardiopsis	12
Erysipelothrix	14
Chryseobacterium	15
Sphingomonas	15
Methylotenera	15
Acidovorax	19
Bacillariophyta	21
Sporobacter	21
Gp4	25
Parabacteroides	30
Mucilaginibacter	30
Stenotrophomonas	33
Cupriavidus	35
Pedobacter	36
Variovorax	38
Rubrobacter	38
Ilumatobacter	38
Massilia	39
Parvimonas	41
Herbaspirillum	41
Micrococcus	42
Veillonella	45
Sanguibacter	46
Haemophilus	46
Pelomonas	47
Cloacibacterium	48
Paracoccus	51
Abiotrophia	52
Burkholderia	55
Marmoricola	58
OD1	63
Anoxybacillus	71
Anaeromyxobacter	79
Atopostipes	84
Flavobacterium	89
Corynebacterium	129
Pseudomonas	143
Skermanella	143
Staphylococcus	145
Streptococcus	154
Comamonas	185
Escherichia/Shigella	203
Saccharopolyspora	204
Diaphorobacter	218
Nevskia	278
Streptophyta	337
Actinomyces	347
Propionibacterium	377
Enhydrobacter	505
Acinetobacter	2318

Sample is 7916_ELS
Genus	Number_16s
Myceligenerans	12
Geobacillus	22
Cellvibrio	23
Geothrix	32
Gemmatimonas	33
Cloacibacterium	33
Leuconostoc	34
Bradyrhizobium	46
Rhodoferax	46
Citrobacter	50
Enhydrobacter	52
Nocardiopsis	57
Sphingomonas	58
Massilia	61
Halomonas	63
Emticicia	66
Trichococcus	73
Polaromonas	74
Flectobacillus	76
Anaeromyxobacter	79
Methylotenera	81
Chryseobacterium	85
Gp4	85
Lutispora	86
Streptomyces	90
Humicoccus	91
Arcicella	92
Gp3	94
Legionella	98
Capnocytophaga	103
Diaphorobacter	103
Sphingobium	113
Granulicatella	114
Variovorax	118
Cupriavidus	118
Flavobacterium	119
Rubellimicrobium	120
Ralstonia	137
Corynebacterium	141
Streptophyta	142
Staphylococcus	154
Pseudomonas	167
Streptococcus	184
Comamonas	219
OD1	330
Actinomyces	397
Propionibacterium	489
Saccharopolyspora	620
Haemophilus	900
Acinetobacter	941
Escherichia/Shigella	1058

Sample is 7916_CS
Genus	Number_16s
Myceligenerans	12
Hydrogenophaga	17
Caldilinea	18
Tepidimonas	23
Arcicella	26
Ochrobactrum	31
Delftia	32
Nevskia	33
Pedobacter	34
Humicoccus	35
Modestobacter	38
Facklamia	41
Streptophyta	47
Rubrobacter	51
Ilumatobacter	51
Flavobacterium	55
Ralstonia	57
Dietzia	58
Sphingomonas	59
Pseudomonas	60
Sphingobium	69
Roseomonas	73
Sanguibacter	73
Alcanivorax	74
Geobacillus	76
Kocuria	80
Stenotrophomonas	80
Duganella	82
Globicatella	89
Pelomonas	99
Shinella	106
Prevotella	107
Azospira	118
Skermanella	130
Staphylococcus	150
Streptococcus	162
Parapedobacter	196
Corynebacterium	210
Acinetobacter	233
Hydrogenophilus	326
Paracoccus	470
Actinomyces	486
Diaphorobacter	650
Escherichia/Shigella	740
Propionibacterium	750
Saccharopolyspora	871

Sample is 7916_EMS
Genus	Number_16s
Chryseobacterium	13
Proteiniphilum	17
Microbacterium	18
Cloacibacterium	20
Methylobacterium	22
Erysipelothrix	22
Sphingobium	22
Devosia	25
Legionella	27
Hydrogenophilus	28
Sphingobacterium	28
Agrococcus	34
Desulfomonile	37
Nocardiopsis	37
Sediminibacterium	38
Arthrobacter	39
Leptotrichia	40
Herminiimonas	41
Zoogloea	43
Parapedobacter	45
Marinospirillum	49
Novosphingobium	50
Paludibacter	52
Bacillariophyta	56
Rudanella	57
Sphingomonas	58
Capnocytophaga	59
Leadbetterella	65
Catenibacterium	67
Abiotrophia	69
Variovorax	72
Rubrobacter	72
Ilumatobacter	72
Kocuria	76
Ralstonia	80
Bacteroides	85
OD1	85
Haemophilus	91
Flavobacterium	94
Gp3	96
Granulicatella	98
Diaphorobacter	107
Anoxybacillus	117
Bradyrhizobium	124
Pelomonas	138
Streptococcus	144
Paracoccus	157
Globicatella	178
Herbaspirillum	178
Lactobacillus	237
Pseudomonas	294
Stenotrophomonas	320
Escherichia/Shigella	329
Streptophyta	391
Acinetobacter	410
Corynebacterium	451
Actinomyces	585
Saccharopolyspora	739
Propionibacterium	1023

Sample is 7916_EUS
Genus	Number_16s
Humicoccus	15
Staphylococcus	15
Sanguibacter	17
Methylibium	19
Devosia	27
Chlorophyta	31
Sphingobium	33
Acidovorax	36
OD1	40
Catonella	47
Anaeromyxobacter	50
Pseudomonas	50
Nevskia	51
Rhizobium	54
Pedobacter	54
Gp16	55
Gp3	55
Streptophyta	69
Fusobacterium	69
Bacillariophyta	74
Stenotrophomonas	75
Diaphorobacter	78
Legionella	79
Cloacibacterium	82
Anaerovorax	82
Ralstonia	83
Variovorax	84
Cystobacter	85
Tannerella	85
Capnocytophaga	87
Ottowia	90
Nocardiopsis	97
Methylobacterium	98
Microbacterium	99
Leptotrichia	115
Lactobacillus	115
Massilia	124
Paracoccus	157
Geobacillus	161
Bradyrhizobium	171
Pelomonas	179
Dialister	180
Flectobacillus	182
Streptococcus	191
Flavobacterium	197
Escherichia/Shigella	227
Parvimonas	228
Eubacterium	231
Actinomyces	256
Herbaspirillum	266
Saccharopolyspora	538
Acinetobacter	1164
Corynebacterium	1279
Propionibacterium	1449

Sample is 7921_ELS
Genus	Number_16s
Methylobacterium	18
Terrimonas	22
Ilumatobacter	23
Luteolibacter	25
Pelomonas	43
Haemophilus	51
Xanthomonas	55
Gp4	61
Diaphorobacter	71
Cloacibacterium	76
Arcicella	90
Hoeflea	99
Variovorax	100
Acidovorax	115
Dyadobacter	117
Nevskia	137
Neisseria	143
Herbaspirillum	153
Ralstonia	166
Propionibacterium	178
Actinomyces	178
Saccharopolyspora	179
Bacillariophyta	226
Bradyrhizobium	257
Streptococcus	296
Escherichia/Shigella	353
Staphylococcus	383
Pseudomonas	410
Comamonas	583
Streptophyta	1648
Acinetobacter	6221

Sample is 7921_CS
Genus	Number_16s
Flectobacillus	11
Leptothrix	12
Georgenia	12
Veillonella	12
Raoultella	14
Neisseria	14
OD1	14
Schlegelella	15
Arcobacter	16
Bdellovibrio	17
Cytophaga	18
Clostridium	18
Exiguobacterium	18
Atopostipes	19
Paracoccus	19
Alcaligenes	19
Curvibacter	20
Hymenobacter	21
Aquabacterium	21
Arcicella	21
Dyadobacter	21
Anoxybacillus	24
Terrimonas	24
Variovorax	25
Prevotella	25
Sanguibacter	28
Modestobacter	28
Staphylococcus	28
Nitrospira	33
Azospira	33
TM7	34
Trichococcus	34
Cloacibacterium	34
Herminiimonas	38
Massilia	38
Duganella	39
Cystobacter	40
Amaricoccus	41
Devosia	41
Rathayibacter	42
Bradyrhizobium	42
Citrobacter	50
Brevundimonas	58
Streptococcus	59
Sphingomonas	63
Corynebacterium	64
Malikia	65
Herbaspirillum	67
Microbacterium	73
Acidovorax	83
Stenotrophomonas	92
Xanthomonas	97
Methylobacterium	102
Pelomonas	105
Ralstonia	113
Escherichia/Shigella	218
Actinomyces	226
Saccharopolyspora	247
Propionibacterium	290
Diaphorobacter	412
Lactobacillus	519
Comamonas	933
Streptophyta	1133
Pseudomonas	1306
Acinetobacter	9468

Sample is 7921_EMS
Genus	Number_16s
Chlorophyta	14
Enterococcus	15
Staphylococcus	16
Cellvibrio	18
Sphingobacterium	21
Nocardioides	23
Thiothrix	29
Xanthomonas	30
Gp6	31
Acidovorax	34
Brevundimonas	36
Methylibium	37
Rhodoferax	39
Paludibacter	41
Treponema	41
Sphingomonas	44
Roseomonas	44
Frigoribacterium	44
Methylotenera	48
Roseburia	53
Flavobacterium	54
Parapedobacter	54
Friedmanniella	59
Bacillariophyta	60
Gp4	61
Citricoccus	62
Tepidimonas	63
Geobacillus	63
Janthinobacterium	64
TM7	64
Mucilaginibacter	66
Gemmatimonas	67
Methylobacterium	69
Anaeromyxobacter	72
Nevskia	74
Caulobacter	81
Diaphorobacter	85
Cloacibacterium	87
Agrococcus	88
Ralstonia	98
Veillonella	105
Stenotrophomonas	113
Citrobacter	113
Blastococcus	126
Sanguibacter	126
Novosphingobium	130
Escherichia/Shigella	132
Capnocytophaga	140
OD1	149
Streptophyta	167
Bdellovibrio	176
Herbaspirillum	177
