Porphyromonadaceae	114
Campylobacteraceae	115
Methylobacteriaceae	116
Brucellaceae	125
Sphingomonadaceae	125
Pseudomonadaceae	134
Bacteroidaceae	140
Microbacteriaceae	149
Chitinophagaceae	149
Pseudonocardiaceae	153
Phyllobacteriaceae	182
Corynebacteriaceae	187
Oxalobacteraceae	187
Bacillaceae	193
Streptococcaceae	344
Deinococcaceae	353
Flavobacteriaceae	397
Rhodobacteraceae	429
Aerococcaceae	491
Comamonadaceae	804
Enterobacteriaceae	1243
Moraxellaceae	1972

Sample is 7824_EUS
Family	Number_16s
Sample is 7824_EUS
Family	Number_16s
Hydrogenophilaceae	13
Shewanellaceae	14
Veillonellaceae	14
Rhodocyclaceae	15
Methylobacteriaceae	15
Streptococcaceae	16
Micrococcaceae	20
Burkholderiales	21
Oxalobacteraceae	23
Microbacteriaceae	26
Alcaligenaceae	26
Aerococcaceae	31
Enterococcaceae	49
Methylophilaceae	50
Nocardioidaceae	51
Chloroplast	57
Rhodobacteraceae	72
Lactobacillaceae	76
Propionibacteriaceae	147
Sphingomonadaceae	172
Acetobacteraceae	201
Xanthomonadaceae	207
Campylobacteraceae	265
Flavobacteriaceae	394
Enterobacteriaceae	538
Comamonadaceae	1165
Pseudomonadaceae	1910
Moraxellaceae	10000

Sample is 7878_ELS
Family	Number_16s
Sample is 7878_ELS
Family	Number_16s
Erysipelotrichaceae	18
Bdellovibrionaceae	23
Brucellaceae	26
Micrococcaceae	29
Veillonellaceae	30
Sinobacteraceae	30
Bradyrhizobiaceae	37
Burkholderiaceae	39
Microbacteriaceae	40
Acetobacteraceae	45
Caulobacteraceae	48
Polyangiaceae	55
Rhizobiaceae	61
Burkholderiales	67
Geodermatophilaceae	73
Bacillaceae	75
Brevibacteriaceae	76
Prevotellaceae	86
Rhodobacteraceae	90
Rhodocyclaceae	101
Ruminococcaceae	102
Legionellaceae	130
Cytophagaceae	162
Methylophilaceae	168
Xanthomonadaceae	180
Incertae	206
Corynebacteriaceae	235
Pseudomonadaceae	239
Sphingomonadaceae	242
Streptococcaceae	254
Pasteurellaceae	267
Chloroplast	276
Propionibacteriaceae	417
Oxalobacteraceae	445
Staphylococcaceae	489
Comamonadaceae	1124
Enterobacteriaceae	1357
Flavobacteriaceae	1363
Moraxellaceae	7974

Sample is 7878_EUS
Family	Number_16s
Sample is 7878_EUS
Family	Number_16s
Burkholderiales	14
Saprospiraceae	16
Rhizobiaceae	16
Methylobacteriaceae	18
Veillonellaceae	19
Microbacteriaceae	20
Chitinophagaceae	20
Micrococcaceae	20
Bacteriovoracaceae	21
Rhodospirillaceae	23
Sinobacteraceae	25
Clostridiaceae	32
Pasteurellaceae	37
Legionellaceae	39
Erythrobacteraceae	46
Oxalobacteraceae	47
Micromonosporaceae	50
Burkholderiaceae	58
Cytophagaceae	65
Rhodocyclaceae	72
Sphingomonadaceae	74
Lactobacillaceae	80
Corynebacteriaceae	90
Bradyrhizobiaceae	92
Actinomycetaceae	97
Caulobacteraceae	105
Xanthomonadaceae	111
Pseudomonadaceae	120
Phyllobacteriaceae	130
Propionibacteriaceae	140
Methylophilaceae	168
Staphylococcaceae	194
Streptococcaceae	252
Sphingobacteriaceae	258
Comamonadaceae	395
Enterobacteriaceae	467
Rhodobacteraceae	728
Chloroplast	744
Flavobacteriaceae	961
Moraxellaceae	3784

Sample is 7878_EMS
Family	Number_16s
Sample is 7878_EMS
Family	Number_16s
Verrucomicrobiaceae	12
Actinomycetaceae	13
Intrasporangiaceae	14
Methylophilaceae	15
Streptomycetaceae	15
Saprospiraceae	16
Hyphomicrobiaceae	26
Porphyromonadaceae	30
Rubrobacteraceae	38
Incertae	41
Micrococcaceae	42
Veillonellaceae	45
Erysipelotrichaceae	46
Pasteurellaceae	46
Sanguibacteraceae	46
Aerococcaceae	52
Rhodobacteraceae	53
Microbacteriaceae	65
Chitinophagaceae	66
Sphingobacteriaceae	66
Nocardioidaceae	67
Carnobacteriaceae	84
Bacillaceae	85
Phyllobacteriaceae	86
Burkholderiaceae	90
Oxalobacteraceae	93
Bradyrhizobiaceae	110
Corynebacteriaceae	129
Polyangiaceae	129
Rhodospirillaceae	143
Staphylococcaceae	145
Ruminococcaceae	147
Streptococcaceae	154
Sphingomonadaceae	197
Xanthomonadaceae	198
Flavobacteriaceae	236
Sinobacteraceae	278
Pseudomonadaceae	288
Propionibacteriaceae	290
Chloroplast	386
Comamonadaceae	622
Enterobacteriaceae	639
Moraxellaceae	2825

Sample is 7916_ELS
Family	Number_16s
Sample is 7916_ELS
